ticker	company_name	sector	industry	general_description	customers	products_services	hq_location	exchange	country	logo_url
CCI	Crown Castle International	Real Estate	REITs	Infrastructure REIT	Wireless carriers	"Cell towers, Small cells, Fiber"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/crowncastle.com
EQIX	Equinix Inc.	Real Estate	REITs	Data center REIT	Digital infrastructure	"Data centers, Interconnection, Cloud"	"Redwood City, California"	NASDAQ	USA	https://logo.clearbit.com/equinix.com
SPG	Simon Property Group	Real Estate	REITs	Retail REIT	Retailers and shoppers	"Shopping malls, Premium outlets, Lifestyle centers"	"Indianapolis, Indiana"	NYSE	USA	https://logo.clearbit.com/simon.com
WELL	Welltower Inc.	Real Estate	REITs	Healthcare REIT	Healthcare providers	"Senior housing, Medical offices, Hospitals"	"Toledo, Ohio"	NYSE	USA	https://logo.clearbit.com/welltower.com
EXR	Extended Stay America	Real Estate	REITs	Residential REIT	Extended stay guests	"Extended stay hotels, Apartment-style rooms"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/extendedstayamerica.com
AVB	AvalonBay Communities	Real Estate	REITs	Residential REIT	Apartment renters	"Apartment communities, Rental properties"	"Arlington, Virginia"	NYSE	USA	https://logo.clearbit.com/avalonbay.com
O	Realty Income Corporation	Real Estate	REITs	Monthly dividend REIT	Income investors	"Retail properties, Monthly dividends"	"San Diego, California"	NYSE	USA	https://logo.clearbit.com/realtyincome.com
VTR	Ventas Inc.	Real Estate	REITs	Healthcare real estate	Healthcare providers	"Senior housing, Medical offices, Research facilities"	"Chicago, Illinois"	NYSE	USA	https://logo.clearbit.com/ventasreit.com
MDT	Medtronic plc	Health Care	Medical Devices	Medical technology and therapies	Healthcare providers	"Cardiac devices, Diabetes, Surgical tools"	"Dublin, Ireland"	NYSE	Ireland	https://logo.clearbit.com/medtronic.com
ABT	Abbott Laboratories	Health Care	Medical Devices	Healthcare products	Healthcare providers and consumers	"Diagnostics, Medical devices, Nutrition"	"Abbott Park, Illinois"	NYSE	USA	https://logo.clearbit.com/abbott.com
TMO	Thermo Fisher Scientific	Health Care	Life Sciences Tools	Life sciences solutions	Research institutions	"Analytical instruments, Lab equipment, Services"	"Waltham, Massachusetts"	NYSE	USA	https://logo.clearbit.com/thermofisher.com
DHR	Danaher Corporation	Health Care	Life Sciences Tools	Science and technology solutions	Life sciences and diagnostics	"Life sciences, Diagnostics, Environmental"	"Washington, D.C."	NYSE	USA	https://logo.clearbit.com/danaher.com
SYK	Stryker Corporation	Health Care	Medical Devices	Medical technology	Healthcare providers	"Orthopedics, Surgical equipment, Neuroscience"	"Kalamazoo, Michigan"	NYSE	USA	https://logo.clearbit.com/stryker.com
BSX	Boston Scientific Corporation	Health Care	Medical Devices	Medical devices	Healthcare providers	"Interventional cardiology, Rhythm management"	"Marlborough, Massachusetts"	NYSE	USA	https://logo.clearbit.com/bostonscientific.com
EW	Edwards Lifesciences	Health Care	Medical Devices	Heart valve therapy and monitoring	Healthcare providers	"Heart valves, Critical care monitoring"	"Irvine, California"	NYSE	USA	https://logo.clearbit.com/edwards.com
ISRG	Intuitive Surgical Inc.	Health Care	Medical Devices	Robotic-assisted surgery	Healthcare providers	"da Vinci surgical systems, Instruments"	"Sunnyvale, California"	NASDAQ	USA	https://logo.clearbit.com/intuitive.com
DXCM	DexCom Inc.	Health Care	Medical Devices	Continuous glucose monitoring	Diabetes patients	"CGM systems, Sensors, Mobile apps"	"San Diego, California"	NASDAQ	USA	https://logo.clearbit.com/dexcom.com
HOLX	Hologic Inc.	Health Care	Medical Devices	Diagnostic and surgical products	Healthcare providers	"Mammography, Molecular diagnostics, Surgical"	"Marlborough, Massachusetts"	NASDAQ	USA	https://logo.clearbit.com/hologic.com
TDOC	Teladoc Health Inc.	Health Care	Healthcare Services	Virtual healthcare services	Patients and healthcare providers	"Telehealth, Virtual consultations, Mental health"	"Purchase, New York"	NYSE	USA	https://logo.clearbit.com/teladoc.com
VEEV	Veeva Systems Inc.	Health Care	Healthcare Technology	Cloud software for life sciences	Pharmaceutical companies	"CRM, Clinical trial software, Regulatory"	"Pleasanton, California"	NYSE	USA	https://logo.clearbit.com/veeva.com
ZTS	Zoetis Inc.	Health Care	Pharmaceuticals	Animal health products	Veterinarians and livestock	"Vaccines, Medicines, Diagnostics for animals"	"Parsippany, New Jersey"	NYSE	USA	https://logo.clearbit.com/zoetis.com
VZ	Verizon Communications	Communication Services	Telecommunications	Telecommunications services	Consumers and businesses	"Wireless, Broadband, 5G, Business solutions"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/verizon.com
T	AT&T Inc.	Communication Services	Telecommunications	Telecommunications and media services	Consumers and businesses	"Wireless, Internet, TV, Business communications"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/att.com
TMUS	T-Mobile US Inc.	Communication Services	Telecommunications	Wireless telecommunications	Consumers and businesses	"Wireless service, 5G network, Mobile devices"	"Bellevue, Washington"	NASDAQ	USA	https://logo.clearbit.com/t-mobile.com
CSCO	Cisco Systems Inc.	Information Technology	Communications Equipment	Networking equipment and software	Enterprises	"Routers, Switches, Security, Collaboration"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/cisco.com
ANET	Arista Networks Inc.	Information Technology	Communications Equipment	Cloud networking solutions	Data centers	"Ethernet switches, Network software"	"Santa Clara, California"	NYSE	USA	https://logo.clearbit.com/arista.com
JNPR	Juniper Networks Inc.	Information Technology	Communications Equipment	Network infrastructure solutions	Service providers	"Routers, Switches, Security platforms"	"Sunnyvale, California"	NYSE	USA	https://logo.clearbit.com/juniper.net
WDC	Western Digital Corporation	Information Technology	Consumer Electronics	Data storage solutions	Consumers and enterprises	"Hard drives, SSDs, Flash memory"	"San Jose, California"	NASDAQ	USA	https://logo.clearbit.com/wdc.com
STX	Seagate Technology Holdings	Information Technology	Consumer Electronics	Data storage solutions	Consumers and enterprises	"Hard drives, SSDs, Cloud storage"	"Fremont, California"	NASDAQ	USA	https://logo.clearbit.com/seagate.com
SONO	Sonos Inc.	Information Technology	Consumer Electronics	Wireless audio products	Consumers	"Smart speakers, Soundbars, Home theater"	"Santa Barbara, California"	NASDAQ	USA	https://logo.clearbit.com/sonos.com
GPRO	GoPro Inc.	Information Technology	Consumer Electronics	Action cameras and accessories	Adventure enthusiasts	"HERO cameras, Mounts, Subscription service"	"San Mateo, California"	NASDAQ	USA	https://logo.clearbit.com/gopro.com
LOGI	Logitech International	Information Technology	Consumer Electronics	Computer peripherals	Consumers and businesses	"Mice, Keyboards, Webcams, Gaming gear"	"Lausanne, Switzerland"	NASDAQ	Switzerland	https://logo.clearbit.com/logitech.com
SCHW	Charles Schwab Corporation	Financials	Asset Management	Financial services	Individual investors	"Brokerage, Banking, Investment advisory"	"Westlake, Texas"	NYSE	USA	https://logo.clearbit.com/schwab.com
BLK	BlackRock Inc.	Financials	Asset Management	Investment management	Institutional and retail investors	"ETFs, Mutual funds, Alternative investments"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/blackrock.com
TROW	T. Rowe Price Group	Financials	Asset Management	Investment management	Individual and institutional investors	"Mutual funds, Separate accounts, Retirement"	"Baltimore, Maryland"	NASDAQ	USA	https://logo.clearbit.com/troweprice.com
BEN	Franklin Resources	Financials	Asset Management	Investment management	Individual and institutional investors	"Mutual funds, ETFs, Separate accounts"	"San Mateo, California"	NYSE	USA	https://logo.clearbit.com/franklinresources.com
PGR	Progressive Corporation	Financials	Insurance	Auto insurance	Vehicle owners	"Auto insurance, Home insurance, Commercial"	"Mayfield Village, Ohio"	NYSE	USA	https://logo.clearbit.com/progressive.com
AIG	American International Group	Financials	Insurance	Insurance and financial services	Consumers and businesses	"Property casualty, Life insurance, Retirement"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/aig.com
TRV	Travelers Companies	Financials	Insurance	Property and casualty insurance	Consumers and businesses	"Auto insurance, Home insurance, Business insurance"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/travelers.com
ALL	Allstate Corporation	Financials	Insurance	Insurance services	Consumers	"Auto insurance, Home insurance, Life insurance"	"Northfield Township, Illinois"	NYSE	USA	https://logo.clearbit.com/allstate.com
PRU	Prudential Financial	Financials	Insurance	Financial services	Consumers and institutions	"Life insurance, Annuities, Asset management"	"Newark, New Jersey"	NYSE	USA	https://logo.clearbit.com/prudential.com
AFL	Aflac Incorporated	Financials	Insurance	Supplemental insurance	Consumers	"Cancer insurance, Accident insurance, Life insurance"	"Columbus, Georgia"	NYSE	USA	https://logo.clearbit.com/aflac.com
USB	U.S. Bancorp	Financials	Banks	Banking and financial services	Consumers and businesses	"Community banking, Commercial banking, Wealth management"	"Minneapolis, Minnesota"	NYSE	USA	https://logo.clearbit.com/usbank.com
PNC	PNC Financial Services	Financials	Banks	Banking and financial services	Consumers and businesses	"Retail banking, Corporate banking, Asset management"	"Pittsburgh, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/pnc.com
COF	Capital One Financial	Financials	Consumer Finance	Banking and credit services	Consumers and businesses	"Credit cards, Banking, Commercial lending"	"McLean, Virginia"	NYSE	USA	https://logo.clearbit.com/capitalone.com
GPS	Gap Inc.	Consumer Discretionary	Apparel & Footwear	Apparel retailer	Consumers	"Gap, Banana Republic, Old Navy, Athleta"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/gap.com
ANF	Abercrombie & Fitch Co.	Consumer Discretionary	Apparel & Footwear	Apparel retailer	Young consumers	"Abercrombie, Hollister, abercrombie kids"	"New Albany, Ohio"	NYSE	USA	https://logo.clearbit.com/abercrombie.com
AEO	American Eagle Outfitters	Consumer Discretionary	Apparel & Footwear	Apparel retailer	Young consumers	"American Eagle, Aerie, Offline by Aerie"	"Pittsburgh, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/ae.com
URBN	Urban Outfitters Inc.	Consumer Discretionary	Apparel & Footwear	Apparel retailer	Young consumers	"Urban Outfitters, Anthropologie, Free People"	"Philadelphia, Pennsylvania"	NASDAQ	USA	https://logo.clearbit.com/urbn.com
TM	Toyota Motor Corporation	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Toyota, Lexus, Prius, Camry"	"Toyota City, Japan"	NYSE	Japan	https://logo.clearbit.com/toyota.com
HMC	Honda Motor Co Ltd.	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Honda, Acura, Civic, Accord"	"Tokyo, Japan"	NYSE	Japan	https://logo.clearbit.com/honda.com
STLA	Stellantis N.V.	Consumer Discretionary	Automotive	Automotive manufacturer	Global consumers	"Jeep, Ram, Dodge, Chrysler"	"Amsterdam, Netherlands"	NYSE	Netherlands	https://logo.clearbit.com/stellantis.com
RACE	Ferrari N.V.	Consumer Discretionary	Automotive	Luxury automotive manufacturer	Luxury car enthusiasts	"Ferrari sports cars, Racing, Merchandise"	"Maranello, Italy"	NYSE	Italy	https://logo.clearbit.com/ferrari.com
TSCO	Tractor Supply Company	Consumer Discretionary	Retail	Rural lifestyle retailer	Rural consumers	"Farm supplies, Pet care, Tools, Clothing"	"Brentwood, Tennessee"	NASDAQ	USA	https://logo.clearbit.com/tractorsupply.com
ICE	Intercontinental Exchange	Financials	Financial Exchanges	Financial market infrastructure	Financial institutions	"Exchanges, Clearing, Data services"	"Atlanta, Georgia"	NYSE	USA	https://logo.clearbit.com/theice.com
CME	CME Group Inc.	Financials	Financial Exchanges	Derivatives marketplace	Financial institutions	"Futures, Options, Clearing services"	"Chicago, Illinois"	NASDAQ	USA	https://logo.clearbit.com/cmegroup.com
NDAQ	Nasdaq Inc.	Financials	Financial Exchanges	Financial market technology	Financial institutions	"Market services, Corporate platforms, Investment intelligence"	"New York, New York"	NASDAQ	USA	https://logo.clearbit.com/nasdaq.com
WM	Waste Management Inc.	Industrials	Environmental Services	Waste collection and disposal	Residential and commercial	"Garbage collection, Recycling, Landfills"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/wm.com
RSG	Republic Services Inc.	Industrials	Environmental Services	Waste collection and disposal	Residential and commercial	"Waste collection, Recycling, Environmental services"	"Phoenix, Arizona"	NYSE	USA	https://logo.clearbit.com/republicservices.com
JBHT	J.B. Hunt Transport Services	Industrials	Transportation	Transportation and logistics services	Shippers	"Intermodal, Dedicated, Final mile"	"Lowell, Arkansas"	NASDAQ	USA	https://logo.clearbit.com/jbhunt.com
CHRW	C.H. Robinson Worldwide	Industrials	Transportation	Logistics services	Shippers	"Transportation management, Freight brokerage"	"Eden Prairie, Minnesota"	NASDAQ	USA	https://logo.clearbit.com/chrobinson.com
XPO	XPO Logistics Inc.	Industrials	Transportation	Transportation and logistics	Shippers	"Less-than-truckload, Truck brokerage"	"Greenwich, Connecticut"	NYSE	USA	https://logo.clearbit.com/xpo.com
ODFL	Old Dominion Freight Line	Industrials	Transportation	Less-than-truckload shipping	Shippers	"LTL shipping, Regional transportation"	"Thomasville, North Carolina"	NASDAQ	USA	https://logo.clearbit.com/odfl.com
SAIA	Saia Inc.	Industrials	Transportation	Less-than-truckload shipping	Shippers	"LTL freight, Regional transportation"	"Johns Creek, Georgia"	NASDAQ	USA	https://logo.clearbit.com/saia.com
KNX	Knight-Swift Transportation	Industrials	Transportation	Truckload transportation	Shippers	"Full truckload, Dedicated, Logistics"	"Phoenix, Arizona"	NYSE	USA	https://logo.clearbit.com/knight-swift.com
SNDR	Schneider National Inc.	Industrials	Transportation	Transportation and logistics	Shippers	"Truckload, Intermodal, Logistics"	"Green Bay, Wisconsin"	NYSE	USA	https://logo.clearbit.com/schneider.com
ALB	Albemarle Corporation	Materials	Chemicals	Specialty chemicals	Various industries	"Lithium, Bromine, Catalysts"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/albemarle.com
FMC	FMC Corporation	Materials	Chemicals	Agricultural chemicals	Farmers	"Crop protection, Plant health, Agricultural solutions"	"Philadelphia, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/fmc.com
CE	Celanese Corporation	Materials	Chemicals	Specialty materials	Various industries	"Engineered materials, Acetate products"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/celanese.com
EMN	Eastman Chemical Company	Materials	Chemicals	Specialty chemicals	Various industries	"Advanced materials, Additives, Functional products"	"Kingsport, Tennessee"	NYSE	USA	https://logo.clearbit.com/eastman.com
STLD	Steel Dynamics Inc.	Materials	Metals & Mining	Steel producer	Construction and automotive	"Steel products, Recycling"	"Fort Wayne, Indiana"	NASDAQ	USA	https://logo.clearbit.com/steeldynamics.com
RS	Reliance Steel & Aluminum	Materials	Metals & Mining	Metals service center	Various industries	"Steel, Aluminum, Metal processing"	"Los Angeles, California"	NYSE	USA	https://logo.clearbit.com/rsac.com
CMC	Commercial Metals Company	Materials	Metals & Mining	Steel and metal products	Construction and infrastructure	"Rebar, Merchant bar, Recycling"	"Irving, Texas"	NYSE	USA	https://logo.clearbit.com/cmc.com
WOR	Worthington Industries	Materials	Metals & Mining	Metal processing	Various industries	"Steel processing, Pressure cylinders"	"Columbus, Ohio"	NYSE	USA	https://logo.clearbit.com/worthingtonindustries.com
DLR	Digital Realty Trust	Real Estate	REITs	Data center REIT	Technology companies	"Data centers, Colocation, Interconnection"	"Austin, Texas"	NYSE	USA	https://logo.clearbit.com/digitalrealty.com
PSA	Public Storage	Real Estate	REITs	Self-storage REIT	Consumers and businesses	"Self-storage facilities, Moving supplies"	"Glendale, California"	NYSE	USA	https://logo.clearbit.com/publicstorage.com
EQR	Equity Residential	Real Estate	REITs	Residential REIT	Apartment renters	"Apartment communities, Urban properties"	"Chicago, Illinois"	NYSE	USA	https://logo.clearbit.com/equityapartments.com
UDR	UDR Inc.	Real Estate	REITs	Residential REIT	Apartment renters	"Apartment communities, Multifamily properties"	"Highlands Ranch, Colorado"	NYSE	USA	https://logo.clearbit.com/udr.com
HST	Host Hotels & Resorts	Real Estate	REITs	Lodging REIT	Hotel operators	"Premium hotels, Resort properties"	"Bethesda, Maryland"	NASDAQ	USA	https://logo.clearbit.com/hosthotels.com
KHC	Kraft Heinz Company	Consumer Staples	Food & Beverages	Food and beverage company	Global consumers	"Kraft, Heinz, Oscar Mayer, Philadelphia"	"Pittsburgh, Pennsylvania"	NASDAQ	USA	https://logo.clearbit.com/kraftheinzcompany.com
HRL	Hormel Foods Corporation	Consumer Staples	Food & Beverages	Food company	Global consumers	"SPAM, Skippy, Dinty Moore, Applegate"	"Austin, Minnesota"	NYSE	USA	https://logo.clearbit.com/hormelfoods.com
TSN	Tyson Foods Inc.	Consumer Staples	Food & Beverages	Food company	Consumers and foodservice	"Chicken, Beef, Pork, Prepared foods"	"Springdale, Arkansas"	NYSE	USA	https://logo.clearbit.com/tysonfoods.com
CHD	Church & Dwight Co.	Consumer Staples	Personal Products	Consumer products	Global consumers	"Arm & Hammer, OxiClean, Trojan, First Response"	"Ewing, New Jersey"	NYSE	USA	https://logo.clearbit.com/churchdwight.com
BJ	BJ's Wholesale Club Holdings	Consumer Staples	Retail	Membership warehouse club	Consumers and small businesses	"Bulk merchandise, Gas stations, Services"	"Westborough, Massachusetts"	NYSE	USA	https://logo.clearbit.com/bjs.com
ROST	Ross Stores Inc.	Consumer Discretionary	Retail	Off-price apparel retailer	Consumers	"Clothing, Accessories, Home goods"	"Dublin, California"	NASDAQ	USA	https://logo.clearbit.com/rossstores.com
DKS	Dick's Sporting Goods	Consumer Discretionary	Retail	Sporting goods retailer	Athletes and outdoor enthusiasts	"Athletic equipment, Apparel, Footwear"	"Coraopolis, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/dicks.com
PZZA	Papa John's International	Consumer Discretionary	Restaurants	Pizza delivery chain	Pizza consumers	"Pizza delivery, Digital ordering, Franchise"	"Louisville, Kentucky"	NASDAQ	USA	https://logo.clearbit.com/papajohns.com
WEN	Wendy's Company	Consumer Discretionary	Restaurants	Fast food restaurant chain	Quick service diners	"Burgers, Chicken, Salads, Frosty"	"Dublin, Ohio"	NASDAQ	USA	https://logo.clearbit.com/wendys.com
UAA	Under Armour Inc.	Consumer Discretionary	Apparel & Footwear	Athletic apparel and footwear	Athletes and consumers	"Performance apparel, Footwear, Accessories"	"Baltimore, Maryland"	NYSE	USA	https://logo.clearbit.com/underarmour.com
PH	Parker-Hannifin Corporation	Industrials	Construction & Engineering	Motion and control technologies	Various industries	"Hydraulics, Pneumatics, Filtration"	"Cleveland, Ohio"	NYSE	USA	https://logo.clearbit.com/parker.com
ROK	Rockwell Automation	Industrials	Construction & Engineering	Industrial automation	Manufacturing companies	"Control systems, Software, Services"	"Milwaukee, Wisconsin"	NYSE	USA	https://logo.clearbit.com/rockwellautomation.com
ETN	Eaton Corporation plc	Industrials	Construction & Engineering	Power management company	Various industries	"Electrical systems, Hydraulics, Aerospace"	"Dublin, Ireland"	NYSE	Ireland	https://logo.clearbit.com/eaton.com
TDG	TransDigm Group	Industrials	Aerospace & Defense	Aerospace components	Commercial and military aviation	"Aircraft components, Systems, Parts"	"Cleveland, Ohio"	NYSE	USA	https://logo.clearbit.com/transdigm.com
LDOS	Leidos Holdings Inc.	Industrials	Aerospace & Defense	Technology services	Government customers	"IT services, Engineering, Cybersecurity"	"Reston, Virginia"	NYSE	USA	https://logo.clearbit.com/leidos.com
CACI	CACI International Inc.	Industrials	Aerospace & Defense	Information technology services	Government customers	"IT services, Consulting, Systems integration"	"Reston, Virginia"	NYSE	USA	https://logo.clearbit.com/caci.com
MRO	Marathon Oil Corporation	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Unconventional drilling, International operations"	"Houston, Texas"	NYSE	USA	https://logo.clearbit.com/marathonoil.com
APA	APA Corporation	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Unconventional drilling, International operations"	"Houston, Texas"	NASDAQ	USA	https://logo.clearbit.com/apacorp.com
HES	Hess Corporation	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	"Offshore drilling, Bakken operations"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/hess.com
PXD	Pioneer Natural Resources	Energy	Oil & Gas	Oil and gas exploration	Global energy markets	Permian Basin operations	"Irving, Texas"	NYSE	USA	https://logo.clearbit.com/pxd.com
EQT	EQT Corporation	Energy	Oil & Gas	Natural gas exploration	Global energy markets	"Natural gas production, Appalachian Basin"	"Pittsburgh, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/eqt.com
PPL	PPL Corporation	Utilities	Electric Utilities	Electric utility	Residential and business customers	"Electricity generation, Transmission, Distribution"	"Allentown, Pennsylvania"	NYSE	USA	https://logo.clearbit.com/pplweb.com
ES	Eversource Energy	Utilities	Electric Utilities	Electric and gas utility	New England customers	"Electricity, Natural gas, Water"	"Hartford, Connecticut"	NYSE	USA	https://logo.clearbit.com/eversource.com
FE	FirstEnergy Corp.	Utilities	Electric Utilities	Electric utility	Midwest customers	"Electricity generation, Transmission, Distribution"	"Akron, Ohio"	NYSE	USA	https://logo.clearbit.com/firstenergycorp.com
EIX	Edison International	Utilities	Electric Utilities	Electric utility	Southern California customers	"Electricity generation, Transmission, Distribution"	"Rosemead, California"	NYSE	USA	https://logo.clearbit.com/edison.com
ZBH	Zimmer Biomet Holdings	Health Care	Medical Devices	Musculoskeletal healthcare	Healthcare providers	"Joint replacements, Spine, Trauma products"	"Warsaw, Indiana"	NYSE	USA	https://logo.clearbit.com/zimmerbiomet.com
BDX	Becton Dickinson and Company	Health Care	Medical Devices	Medical technology	Healthcare providers	"Syringes, Catheters, Diagnostic systems"	"Franklin Lakes, New Jersey"	NYSE	USA	https://logo.clearbit.com/bd.com
IQV	IQVIA Holdings Inc.	Health Care	Life Sciences Tools	Healthcare data and analytics	Pharmaceutical companies	"Clinical research, Real-world data, Technology"	"Durham, North Carolina"	NYSE	USA	https://logo.clearbit.com/iqvia.com
CLOV	Clover Health Investments	Health Care	Healthcare Services	Medicare Advantage health insurer	Medicare beneficiaries	"Health insurance, Care management, Technology"	"Franklin, Tennessee"	NASDAQ	USA	https://logo.clearbit.com/cloverhealth.com
DOCS	Doximity Inc.	Health Care	Healthcare Technology	Professional medical network	Healthcare professionals	"Medical networking, Communication, Career services"	"San Francisco, California"	NYSE	USA	https://logo.clearbit.com/doximity.com
TEVA	Teva Pharmaceutical Industries	Health Care	Pharmaceuticals	Generic and specialty pharmaceuticals	Healthcare providers	"Generic drugs, Specialty medicines, OTC"	"Tel Aviv, Israel"	NYSE	Israel	https://logo.clearbit.com/tevapharm.com
NVS	Novartis AG	Health Care	Pharmaceuticals	Pharmaceutical and healthcare	Healthcare providers	"Innovative medicines, Eye care, Generic drugs"	"Basel, Switzerland"	NYSE	Switzerland	https://logo.clearbit.com/novartis.com
AZN	AstraZeneca PLC	Health Care	Pharmaceuticals	Pharmaceutical company	Healthcare providers	"Oncology, Cardiovascular, Respiratory drugs"	"Cambridge, United Kingdom"	NASDAQ	United Kingdom	https://logo.clearbit.com/astrazeneca.com
GSK	GSK plc	Health Care	Pharmaceuticals	Pharmaceutical company	Healthcare providers	"Vaccines, Respiratory, HIV drugs"	"London, United Kingdom"	NYSE	United Kingdom	https://logo.clearbit.com/gsk.com
SNY	Sanofi	Health Care	Pharmaceuticals	Pharmaceutical company	Healthcare providers	"Diabetes, Vaccines, Rare diseases"	"Paris, France"	NASDAQ	France	https://logo.clearbit.com/sanofi.com
TAK	Takeda Pharmaceutical	Health Care	Pharmaceuticals	Pharmaceutical company	Healthcare providers	"Oncology, Gastroenterology, Neuroscience"	"Tokyo, Japan"	NYSE	Japan	https://logo.clearbit.com/takeda.com
CYBR	CyberArk Software Ltd.	Information Technology	Software	Privileged access security	Enterprises	"Identity security, Access management"	"Petach Tikva, Israel"	NASDAQ	Israel	https://logo.clearbit.com/cyberark.com
S	SentinelOne Inc.	Information Technology	Software	Autonomous cybersecurity platform	Enterprises	"Endpoint protection, AI security"	"Mountain View, California"	NYSE	USA	https://logo.clearbit.com/sentinelone.com
FFIV	F5 Inc.	Information Technology	Communications Equipment	Application delivery networking	Enterprises	"Load balancers, Security, Multi-cloud"	"Seattle, Washington"	NASDAQ	USA	https://logo.clearbit.com/f5.com
FISV	Fiserv Inc.	Information Technology	Software	Financial services technology	Financial institutions	"Payment processing, Banking software, Clover"	"Brookfield, Wisconsin"	NASDAQ	USA	https://logo.clearbit.com/fiserv.com
FIS	Fidelity National Information	Information Technology	Software	Financial technology solutions	Financial institutions	"Banking software, Payment processing, Worldpay"	"Jacksonville, Florida"	NYSE	USA	https://logo.clearbit.com/fisglobal.com
DFS	Discover Financial Services	Financials	Consumer Finance	Digital banking and payment services	Consumers	"Credit cards, Personal loans, Online banking"	"Riverwoods, Illinois"	NYSE	USA	https://logo.clearbit.com/discover.com
IVZ	Invesco Ltd.	Financials	Asset Management	Investment management	Individual and institutional investors	"ETFs, Mutual funds, Alternative investments"	"Atlanta, Georgia"	NYSE	USA	https://logo.clearbit.com/invesco.com
AMG	Affiliated Managers Group	Financials	Asset Management	Asset management	Institutional investors	"Alternative investments, Traditional investments"	"West Palm Beach, Florida"	NYSE	USA	https://logo.clearbit.com/amg.com
NTRS	Northern Trust Corporation	Financials	Asset Management	Financial services	Wealthy individuals and institutions	"Wealth management, Asset servicing, Banking"	"Chicago, Illinois"	NASDAQ	USA	https://logo.clearbit.com/northerntrust.com
STT	State Street Corporation	Financials	Asset Management	Financial services	Institutional investors	"Asset servicing, Investment research, Trading"	"Boston, Massachusetts"	NYSE	USA	https://logo.clearbit.com/statestreet.com
MET	MetLife Inc.	Financials	Insurance	Insurance and financial services	Consumers and businesses	"Life insurance, Annuities, Employee benefits"	"New York, New York"	NYSE	USA	https://logo.clearbit.com/metlife.com
HIG	Hartford Financial Services	Financials	Insurance	Insurance and financial services	Consumers and businesses	"Property casualty, Group benefits, Mutual funds"	"Hartford, Connecticut"	NYSE	USA	https://logo.clearbit.com/thehartford.com
AXS	AXIS Capital Holdings	Financials	Insurance	Specialty insurance	Businesses	"Property, Casualty, Specialty insurance"	"Pembroke, Bermuda"	NYSE	Bermuda	https://logo.clearbit.com/axiscapital.com
TFC	Truist Financial Corporation	Financials	Banks	Banking and financial services	Consumers and businesses	"Consumer banking, Commercial banking, Wealth management"	"Charlotte, North Carolina"	NYSE	USA	https://logo.clearbit.com/truist.com
RF	Regions Financial Corporation	Financials	Banks	Banking and financial services	Consumers and businesses	"Consumer banking, Commercial banking, Wealth management"	"Birmingham, Alabama"	NYSE	USA	https://logo.clearbit.com/regions.com
KEY	KeyCorp	Financials	Banks	Banking and financial services	Consumers and businesses	"Consumer banking, Commercial banking, Investment management"	"Cleveland, Ohio"	NYSE	USA	https://logo.clearbit.com/key.com
FITB	Fifth Third Bancorp	Financials	Banks	Banking and financial services	Consumers and businesses	"Consumer banking, Commercial banking, Wealth management"	"Cincinnati, Ohio"	NASDAQ	USA	https://logo.clearbit.com/53.com
HBAN	Huntington Bancshares	Financials	Banks	Banking and financial services	Consumers and businesses	"Consumer banking, Commercial banking, Auto finance"	"Columbus, Ohio"	NASDAQ	USA	https://logo.clearbit.com/huntington.com
ZION	Zions Bancorporation	Financials	Banks	Banking and financial services	Consumers and businesses	"Community banking, Commercial banking, Wealth management"	"Salt Lake City, Utah"	NASDAQ	USA	https://logo.clearbit.com/zionsbancorporation.com
CMA	Comerica Incorporated	Financials	Banks	Banking and financial services	Businesses	"Commercial banking, Retail banking, Wealth management"	"Dallas, Texas"	NYSE	USA	https://logo.clearbit.com/comerica.com
BEPC	Brookfield Renewable Corp.	Utilities	Renewable Energy	Renewable power generation	Utilities and corporations	"Hydroelectric, Wind, Solar, Storage"	"New York, New York"	NYSE	Canada	https://logo.clearbit.com/brookfield.com
MSTR	MicroStrategy Inc.	Information Technology	Software	Business intelligence software	Enterprises	"Analytics, Bitcoin treasury, Business intelligence"	"Tysons Corner, Virginia"	NASDAQ	USA	https://logo.clearbit.com/microstrategy.com
